FeatureID,RP_S37,RP_S38,RP_S39,RP_S40,RP_S41,RP_S42,RP_S43,RP_S44,RP_S45,RP_S46,RP_S47,RP_S48,RP_S49,RP_S50,RP_S51,RP_S52,RP_S53,RP_S54,RP_S55,RP_S56,RP_S57,RP_S58,RP_S59,RP_S60,RP_S61,RP_S62,RP_S63,RP_S64,RP_S65,RP_S66,RP_S67,RP_S68,RP_S69,RP_S70,RP_S71,RP_S72
Feature0229,67371486.51,80795079.72,69092478.9,83764419.44,119745576.1,117494099,60606251.25,80568956.7,75507222.42,107402959.4,89234459.15,83206569.13,68504202.61,83492706.79,81308575.32,73348723.61,86208874.29,65668342.44,118909406.1,65560061.49,106993114.1,71169621.46,61791616.08,51568069.45,88171802.17,105507368.5,80743677.87,88700866.09,63940030.55,54826055.05,39366341.06,68474794.45,84970536.86,77673487.7,78587704.49,98055289.45
Feature0228,15106265,14404095.02,13858555.24,15053753.17,14143472.31,34691417.5,15869181.25,14878690.7,17188736.4,15819993.93,19317715.35,17683574.15,22460105.76,19105322.8,19879525.78,27214890.98,17498201.01,16478933.94,15576438.65,17395886.04,16194995.76,24373713.54,17051553.9,24513131.74,20448902.51,21947620.56,17793486.42,18523993.78,14228948.91,19071667.24,17529557.52,18484025.73,17366368.6,18655919.33,17941110.94,22709733.99
Feature0227,43295538.91,44351953.61,45267506.53,43560395.74,77321479.46,58712814.68,40313702.3,39132923.64,45379243.04,42945387.33,55272367.24,43336409.9,40064615.46,47392680.78,89733575.97,42332741.1,46365736.54,48087243.86,41479380.76,73727146.09,45695571.22,39918008.1,32105030.32,32237272.73,36361453.15,42216558.09,27745614.84,32952758.01,36043984.96,31052213.75,28111753.4,32398996.02,30252442.94,36732347.5,35024750.34,33087230.05
Feature0226,29805261.44,21566998.13,37904167.12,37378855.37,68225154.79,36656063.16,32569336.94,33315567.81,28828869.34,19994004.46,35513698.5,30100333.21,33167103.46,28789694.33,37242640.85,30691294.57,26514721.32,26478531.88,19981061.47,23458073.17,24293079.64,25201880.2,23932780.07,35473804.98,18017455.07,15486061,30424689.65,24551557.67,29750033.17,23969396.12,31923794.65,28520042.19,23034837.12,34652480.16,24223026.37,19939758.08
Feature0225,49332939.4,41492208.03,55029552.08,34686816.91,37586109.85,59880130.57,61875244.4,77991144.63,520477735.3,41166792.26,67122453.68,78679656.87,74064819.12,24062953.03,28939272.88,32082976.91,39471644.06,166165751.4,9989243.472,11504776.01,14664295.08,12406349.81,16397322.58,31183621.14,13199034.86,16467335.14,10071656.06,11437077.43,8378640.075,10673035.12,8481341.499,10563059.85,11279307.45,10122279.36,7681938.032,19620866.81
Feature0224,13285659.63,17692347.44,11968486.64,17352928.22,16285087.56,23438672.74,19543260.25,15563322.59,138697181,134958012.2,144602059.7,151530640.9,147504829.7,168263413.6,147836644.3,140089468.4,108569061.8,70748267.6,97165639.17,81156872.3,82577266.14,90518500.49,83673443.24,75899424.62,96098263.32,88829782.68,80511767.86,95645917.01,43591290.96,60065950.91,46515032.76,26176995.35,4857734.186,13931916.99,28462933.79,32123565.87
Feature0223,145831637.7,129583252,138979886.9,86537726.82,105731553.2,82783172.22,79577711.58,79357250.58,137985315.5,120122343.5,128288500.6,169680062.5,147303983.6,140565755.7,120198611.8,117268637.5,153376725.8,152647421.8,116027368.7,127057792.9,168334832.3,198436890.3,193517460.8,184446036.8,245556761.5,211199301.2,213801494.1,193382480.5,298363579.5,323520461.3,270108931.9,303507866.1,247939728.7,195230164.7,241358215.5,258168466.4
Feature0222,41129910.11,43803087.17,39571340.04,36807765.98,64801604.45,54108940.09,53632701.22,49749468.75,53459999.87,55059100.72,78330882.58,56174185.38,46054801.47,51407799.25,54093113.38,37076255.77,61296851.01,36720598.98,86682196.81,56879377.96,47587865.25,45747223.47,39271056.26,39917325.65,58960758.09,73115908.54,46054305.45,52111786.05,49636528.01,39043984.05,36678915.82,52823619.86,71400157.32,40665821.49,33245789.02,60876952.41
Feature0221,24366334.88,26080137.83,21833462.68,30527048.78,37165544.27,27053627.61,32693861.75,23222333.85,21754427.58,35782394.65,34577588,36374128.92,31085656.22,24173233.39,31414925.02,25340053.44,36262694.11,23224339.54,130293809.3,30535103.74,27060545.14,39807239.5,34866212.19,23706213.73,23656314.9,44820595.75,31128853.04,34437689.12,36217525.35,18761156.27,21624118.14,35892856.17,31614303.32,28860343.2,24872127.97,34672106.23
Feature0220,92141343.67,4504285.36,4861367.81,4595609.762,7095188.282,1825657.789,2390401.375,8827480.474,993608.1541,14850815.02,2923758.24,968615.2093,12491560.92,5790834.227,5648249.196,1033712.607,2257772.686,12888763.47,1696941.735,11375092.01,4234103.089,4611550.85,3425031.392,6382881.677,11357993.64,5012849.042,6228551.578,3185638.517,6075201.33,1021560.201,4794152.156,9531636.716,15385462.38,2366383.933,888723.3831,4086259.063
